firm_name,business_type,address,reply
"Gledhill, Ashworth & Company",Sizer,"Gordon Street, Bradford","Our works are situated on Bowling Beck, a tributary of the Aire. The bed of the Beck has not silted up. Our works are not affected by floods. The condition of the stream has not changed within our knowledge; it is polluted by works above, but not by mines. Obtain our supply of water from waterworks, and we know the annual consumption at our works. We size yearly about 300 tons of goods, and we produce at our works flows direct into sewers, and thence into the Beck. Use steam, 16 nominal horse-power. Consume yearly 900 tons of coal, the ashes from which are carted away to various places where we can tip them. The excrements of our workpeople are conveyed by waterclosets into sewers, and thence into the stream. Have no suggestions to offer."
James Walker,Sizer,"Thornton Road, Bradford","Our works are situated on Bradford Beck, a tributary of the Aire. Employ 12 hands. The Beck has not silted up opposite our works. Our works are not affected by floods. The condition of the stream is much the same as it has been for many years. It is very seriously polluted by refuse from dye houses, woollen, and other manufactories. Obtain supply of water from the Bradford Corporation waterworks, and consume yearly 1,090,000 gallons. We, yearly, size goods of the value of from 4,000 to 5,000. The whole of the waste liquid produced at our works flows direct into the stream. Use yearly from 500 to 600 sacks of flour as size; but do not use either oil or soap. Use steam, 10 nominal horse-power. Consume 864 tons of coal, the ashes from which are used partly in paving the roads and mortar. The excrements of our workpeople are cast into sewers and thence into the river. We suggest, as the best means of avoiding pollution in future, that all liquid refuse should be purified before being allowed to pass into rivers and streams."
Titus Gankroger,Sizer,"Spring Mill Street, Bradford","My works are situated on Bradford Beck, a tributary of the Aire. Employ 16 hands. The bed of the stream has not silted up near our works. Our works are not affected by floods. The stream is very seriously polluted by works above, not by mines. Obtain supply of water from the reservoir of Messrs. Edward Ripley and Sons. Size yearly 400,000 lbs. of wraps. Use yearly 300 sacks of flour as size, but do not use either oil or soap. The liquid refuse produced at my works flows direct into the Beck. Use steam, 16 nominal horse-power. Consume 1,000 tons of coal, the ashes from which are carted away. Have no suggestions to offer."
John Mills,Sizer,"Fulton Street, Thornton Road, Bradford","My works are situated on a gill that flows into Bradford Beck, a tributary of the Aire. Employ 7 hands. The bed of the gill is very much silted up with solid and liquid refuse and spent dye stuffs. My works are affected by floods, but not to any serious extent. The gill is getting gradually worse year by year; it is seriously polluted by entry of liquid and solid refuse. Obtain supply of water from the Bradford Waterworks Company. If the water of the gill was rendered clear and colourless, it would be worth, in direct money value to me, 20l. a year. I size 539,760 lbs. of wraps yearly. The whole of the liquid refuse produced at my works flows into the stream. Use yearly, in the preparation of size, 300 sacks of wheat and flour. Do not use any clay. Do not use either oil or soap. Use steam, 8 nominal horse-power. Consume yearly 600 tons of coal, the ashes from which are used as ballast on railways. The excrements of my workpeople are mixed with stable manure, are used as manure. No suggestions to offer."
George Anderson,Stuff Manufacturer,"Leeds Road, Bradford","My works are situated near Bradford Beck, a tributary of the Aire. Employ 120 hands. My works are not affected by floods. Obtain supply of water from Corporation waterworks, and consume yearly upwards of 300,000 gallons. Manufacture yearly 180,000 lbs. of goods of the value of 40,000. The liquid refuse produced at my works flows direct into sewers, and thence into the stream. Do not use any dye wares, bleaching materials, soap, alkali, or urine. Use steam, 10 nominal horse-power. Consume yearly 1,200 tons of coal, the ashes from which are carted away by a contractor, to be used in building operations. The excrements of my workpeople are deposited in tanks, and the contents removed by carts every three months. Have no suggestions to offer."
John Hill,Stuff Manufacturer,"Richmond Road, Bradford","My works are situated near to Bradford Beck, a tributary of the Aire. Employ 140 hands. Rateable value of works, 305l. My works are not affected by floods. Obtain supply of water from Corporation waterworks; and consume yearly 540,000 gallons. Manufacture yearly 80 tons of goods, of the value of 40,000l. The whole of the refuse produced at my works flows into sewers, and thence into the stream. Do not use any dye wares or bleaching materials, oil, soap, alkali, or urine. Use steam, 20 nominal horse-power. Consume yearly 500 tons of coal, the ashes from which are taken away to be used for street paving and for mixing with lime for mortar. The excrements of my workpeople are conveyed by waterclosets into the sewers, and thence into the Beck. I would suggest as the best means of avoiding pollution in future, that the whole of the sewage and refuse should be utilized in irrigation."
W. Mossman,Stuff Manufacturer,"Zetland Mills, North Brook Street, Bradford","My works are situated near Bradford Beck, a tributary of the Aire. Employ 130 hands. Do not know the rateable value of the works, the rates being paid by the landlord. My works are not affected by floods. Obtain supply of water jointly from wells and waterworks; but do not know the annual consumption at my works. The landlord, under whom H. R. Halstead and I are joint tenants, pays the water rates. I manufacture yearly 200,000 lbs. of goods, of the value of 40,000l. The whole of the waste liquid produced by my works flows directly into sewers and thence into the stream. Do not use any dye wares or bleaching materials, soap, alkali, or urine. Steam power is used jointly by H. R. Halstead and myself; this is also provided by our landlord. The solid excrements of our workpeople are conveyed by sewers into the stream, but the urine is removed by clothiers to be used in the cloth manufacture. Have no suggestions to offer."
H. R. Halstead,Worsted Manufacturer,"Zetland Mills, North Brook Street, Bradford","My works are situated near the Bradford Beck, a tributary of the Aire. Employ 100 hands. I do not know the rateable value of the works, the rates being paid by the landlord. My works are not affected by floods. Obtain supply of water jointly from wells and waterworks; but do not know the annual consumption at my works. The landlord, under whom W. Mossman and I are joint tenants, pays the water rates. I manufacture yearly 140,000 lbs. of goods of the value of 50,000l. The whole of the waste liquid produced at my works flows into sewers, and thence into the stream. Do not use any dye wares or bleaching materials, soap, alkali, or urine. Steam power is used jointly by W. Mossman and myself; this is also provided by our landlord. The solid excrements of our workpeople are conveyed by sewers into the stream, and the urine is removed by clothiers to be used in the cloth manufacture. Have no suggestions to offer."
Robert Petty & Company,Stuff Manufacturers,"Thornton Road, Bradford","Our works are situated on Bradford Beck. Employ 108 hands. Rateable value of works, 117l. The bed of the stream has silted up. Our works are partly affected by floods. The condition of the stream is a perfect nuisance, especially in hot weather. It is seriously polluted by every kind of manufacturing refuse, and by town sewage. Obtain our supply of water from the Bradford waterworks, but do not know the annual consumption at my works. We manufacture yearly 60 to 70 tons of goods, of the value of 30,000l. The whole of the liquid refuse produced at our works flows directly into the Beck. Use steam jointly with other persons, and are therefore unable to give the nominal horse-power, the weight of goods consumed, or what is done with the ashes. The excrements of our workpeople flow into the Beck. Have no suggestions to offer."
Getz & Company,Stuff Manufacturers,"Fleece Mills, Thornton Rd., Bradford","Our works are situated on the Bradford Beck, a tributary of the Aire. Employ 82 hands. Rates paid by the landlord. The bed of the stream has silted up. Our works are not affected by floods. The condition of the stream is very dirty; it is stunk continually, and has done so for several years past. It is seriously polluted by dye works and mills above, and is in fact perfect nuisance. Obtain supply of water from the stream; but do not know the annual consumption at our works. We manufacture yearly 184,000 lbs. of goods, of the value of 30,000l. The whole of the waste liquid produced at our works flows directly into the Beck. Do not use any dye wares, bleaching materials, oil, soap, alkali, or urine. Use steam, 40 nominal horse-power. The coal is supplied by the landlord, from whom we hire power; do not know what is done with the ashes. The excrements of our workpeople are used for manure. We suggest as the best means of avoiding pollution in future, that the waste liquids from manufacturing should be filtered, and town sewage kept out of rivers and streams."
John Lockwood & Company,Stuff Manufacturers,"Ripley Mills, Bradford","Our works are situated on the Bradford Beck, a tributary of the Aire. Employ 80 hands. Do not know the rateable value of the works, rates are paid by the landlord. Our works are not affected by floods. The river is seriously polluted by works above, not to my knowledge by mines. Obtain our supply of water from the beck, but do not know the annual consumption at our works. We do not know the value of the goods manufactured at our works yearly. The flow of the liquid refuse produced at our works flows direct into the stream. Do not use any dye wares or bleaching materials, oil, soap, alkali, or urine. Use steam, 10 nominal horse-power. Coal is supplied by the landlord of the premises from whom we hire power; do not know what is done with the ashes. The excrements of our workpeople are carted away and used for manure. No suggestions to offer."
"Sawyer, Shackleton & Company",Stuff Manufacturers,"Concordia Mills, Leeds Road, Bradford","Our works are situated near the Bradford Beck. Employ 150 hands. Rateable value of works, 260l. Obtain supply of water from wells. Manufacture yearly, goods of the value of 30,000l. The whole of the liquid refuse produced at our works flows direct into sewers, and thence into the stream. Do not use either dye wares, bleaching materials, oil, soap, alkali, or urine. Use steam, 29 nominal horse-power. Consume yearly 1,000 tons of coal, the ashes from which are used for the making of mortar for building purposes. The excrements of our workpeople are conveyed into sewers, and thence into the stream. Have no suggestions to offer."
Henry Mason,Worsted Spinner and Manufacturer,"North Brook Street, Bradford","My works are situated near the Bradford Beck, a tributary of the Aire. Employ 573 hands. Do not know the separate rateable value of works. The Beck has silted up, caused by solid refuse thrown into it. My works are not affected by floods. During the past 30 years the Beck has been much fouled by the increase of dye works, mills, and factories and by town sewage; but I believe it is not polluted by mines. Obtain supply of water jointly from wells and from the Bradford Waterworks Company; cannot tell the annual consumption at my works. Manufacture yearly goods of the value of 100,000l. The whole of the liquid refuse produced at my works flows direct into the sewers and thence into the Beck. I do not use either dye wares or bleaching materials, oil or soap. I hire power from Messrs. William Brooks and Sons. Do not know the weight of coal consumed, or what is done with the ashes. The excrements of my workpeople are carted away to be used as manure. No suggestions to offer."
Northend And Taylor,Worsted Manufacturers,"Girlington, near Bradford","Our works are situated on an affluent of the Bradford Beck, a tributary of the Aire. Employ 90 hands. We are not able to state the rateable value of works. Our works are not affected by floods. Obtain supply of water from the Bradford Corporation Waterworks and consume yearly 250,000 gallons. Manufacture yearly 125,000 lbs. of goods, of the value of 16,000l. The whole of the liquid refuse produced at our works flows direct into sewers and thence into the stream. Do not use any dye wares, or bleaching materials, oil, soap, alkali, or urine. Use steam, 12 nominal horse-power. Consume yearly 300 tons of coal, the ashes from which are carted away from the premises. The excrements of our workpeople are removed by a contractor under the Corporation. Have no suggestions to offer."
J. Cure & Company,Wool Comber,"Manchester Road, Bradford","Our works are situated on a Beck, separating the townships of Horton and Bowling, an affluent of the Bradford Beck, a tributary of the Aire. Employ 37 hands. Rateable value of works, 159l. Our works are not affected by floods. The stream is polluted by works above and by mines. Obtain supply of water jointly from the Beck and from the Bradford Corporation Company, and consume yearly 884,000 gallons. Manufacture yearly 87,276 lbs. of goods, of the value of 65,420l. The whole of the liquid refuse produced at our works, except soapuds, flows direct into the stream, and thence into the sewers. Do not use any dye wares or bleaching materials. Use yearly 12 cwt. of Gallipoli oil, of the value of 380l. The soapuds used in the process of carding is used for manure. Use yearly soap, 260 gallons. The soapuds are treated for the recovery of grease, which we pay 20l. a year. Use steam, 16 nominal horse-power. Consume yearly 600 tons of coal, the ashes from which are mixed with the excrements of our workpeople and carted on to land. Have no suggestions to offer."
Henry Cautley & Company,Worsted Manufacturers,"Portland Mills, Croft Street, Bradford","Our works are situated on the Bradford Beck, a tributary of the Aire. Employ 313 hands. Do not know the ratable value of the mill as the rates are paid by the landlord. The bed of the stream has silted up. Our works are affected by floods. The condition of the stream is filthy; it is polluted to a great extent by the works, manufacturing refuse of all kinds thrown into it, and by town sewage; now mines. Obtain supply of water jointly from wells and from waterworks company. The water is supplied to us by our landlord in consideration of his receiving the soapsuds in return. Do not know the annual consumption of water at our works. We manufacture yearly goods of the value of 40,000. The whole of the liquid refuse, as soapsuds, produced at our works flows into iron pipes, and is conveyed to the adjoining works, where they are treated for the recovery of grease, but the other waste liquid produced flows directly into sewers and thence into the stream. We do not use either dye wares or bleaching materials. Use yearly four tons of Gallipoli oil, of the value of 250; use yearly soap 120 packs. We rent steam power, and are therefore not able to give the quantity of coal used, or say what is done with the ashes. The excrements of our workpeople flow direct into the Beck. Have no suggestions to offer."
Alfred Priestman & Company,Worsted Spinners and Manufacturers,"Black Lane Mills, Bradford"," Our works are situated near the Bradford Beck, a tributary of the Aire. Employ  350 hands. Rateable value of works 960. Our works are not affected by floods. Obtain supply of water from the Bradford Waterworks Company. Consume yearly 2,500,000 gallons. Manufacture yearly goods of the value of 80,000. The whole of the waste liquid, as soapsuds, flows into a tank; the other waste liquid produced flows into the town sewers, and thence into the river. We do not use either dye wares or bleaching materials. Use yearly Gallipoli oil, of the value of 500, and soap 140 packs, but no alkali or urine. The soapsuds are treated for the recovery of grease, and we gain 4s. per pack by the extraction. Use steam, 33 nominal horse-power. Consume yearly about 2,000 tons of coal, the ashes from which are used in mortar for building purposes. The excrements of our workpeople are conveyed by waterclosets into sewers and thence into the Beck. No suggestions to offer."
J. G. Horsfall & Company,Worsted Manufacturers,"North Wing Mills, Bradford","Our works are situated on the Bradford Beck, a tributary of the Aire. Employ 300 hands. Rateable value of works 497l. Our works are not affected by floods. Obtain supply of water from wells, but do not know the annual consumption at our works. Manufacture yearly 312,000 lbs. of goods, of the value of 50,000. Do not use either dye wares, bleaching materials, oil, soap, or alkali. Use steam, 40 nominal horse-power. Consume yearly 700 tons of coal. Make 100 tons of ashes, which are carted away for repairing the roads. The excrements of our workpeople are carted away for manure. Have no suggestions to offer."
Charles Hastings & Company,Combers and Spinners of Worsted Yarns,"Providence Mills, Thornton Road, Bradford"," Our works are situated on a goit which flows into Bradford Beck, a tributary of the Aire. Employ 220 hands. Rateable value of works 737l. The bed of the goit silts up, but is occasionally cleared out. Our works are not affected by floods. The goit is now very foul from town sewage, liquid refuse from dye and is polluted to a very considerable extent. Obtain supply of water for condenser purposes from the goit, and for other purposes from wells and from the Bradford Corporation Waterworks, but do not know the annual consumption at our works. We comb yearly 818,327 lbs. of wool, of the value of 81,334, and spin 313,984 lbs. of the value of 35,324. Produce yearly liquid refuse, as soapsuds, 2,000,000 gallons of these; flow into a depositing tank. The other waste produced flows into the goit, and thence into the river. We do not use either dye wares or bleaching materials. Use yearly 13 tons of Gallipoli oil, of the value of 720. We produce yearly 90,000 lbs. of waste carding, which is sold to waste dealers. Use yearly about 60,000 lbs., alkali 12,000 lbs., but no urine. The soapsuds are treated for the recovery of grease, and we gain by the extraction. Use 35 nominal horse-power. Consume yearly 2,100 tons of coal, the ashes from which are carted away for repairing roads. The excrements of our workpeople flow into the mill pit, and thence avoiding pollution in future, or as to the conservancy of rivers and streams."
Edward Smith & Company,Worsted Manufacturers,"Industry Mills, Thornton Rd., Bradford","Our works are situated near Bradford Beck. Employ 200 hands. As we rent power as well as premises from Mr. William Carter, of Neal Street, Bradford, we do not know the ratable value of our works, or the annual consumption of water for condensing purposes. The water we require for other purposes is only a small quantity, and this we obtain from the Bradford Corporation. We manufacture, yearly, goods of the value of 50,000l., but do not produce any liquid refuse. Do not use oil or soap. As the steam power is rented with the premises we are unable to give the horse-power; the quantity of coal used ; or to state what is done with the ashes. The excrements of our workpeople are conveyed by a sewer into the Beck. Have no suggestions to offer."
William Woodhead & Company,Worsted Weavers and Manufacturers,"Thornton Road, Bradford","Our works are situated on a goit which flows into Bradford Beck, a tributary of the Aire. Employ 150 hands. Rateable value of works, 248l. The goit is polluted by refuse from manufactories, and by sewage; obtain our supply of water from this goit, but do not know the annual consumption at our works. We manufacture yearly, 254,800 lbs. of goods, of the value of 36,400l. Do not use oil or soap. Use steam, 15 nominal horse-power; but as this power is rented with the premises we are unable to give the weight of coal used; or what is done with the ashes. The excrements of our workpeople are removed by carts and used for manure. Have no suggestions to offer."
James Procter,Worsted Manufacturer,"Penny Oaks Mills, North Parade, Bradford","Our works are situated on a stream which flows into Bradford Beck, a tributary of the Aire. Employ 90 hands. Do not know the rateable value of the works as the landlord pays rates. The bed of the stream has not silted up. Our works are not affected by floods. The stream is polluted by works above, and by sewage. Obtain supply of water partly from the river and partly from the corporation waterworks; but do not know the annual consumption at our works. We manufacture yearly from 60 to 70 tons of cotton, of the value of 22,000l. to 24,000l. The whole of the waste liquid produced at our works flows into the brook. We do not use dyestuffs, bleaching materials, oil, soap, alkali, or urine. Use steam, 10 nominal horse-power; but as we are unable to give the weight of coal used, or to state what is done with the ashes. The urine of our workpeople is carted away to woollen mills to scour cloth, and the solid excrement is conveyed to land to be used as manure. Have no suggestions to offer."
Daniel Sharp & Sons,Worsted Manufacturers,"Tatler Street, Thornton Road, Bradford","Our works are situated on a goit which flows into Bradford Beck, a tributary of the Aire. Employ 75 hands. Rateable value of works, 390l. The bed of the stream has silted up. Our works are not affected by floods. The water of the goit is as black as ink. This has been its state for the last 15 years. It is very seriously polluted by works above, by town sewage; but not by mines. Obtain our supply of water partly from the goit and partly from waterworks, but are unable to state the annual consumption at our works. Manufacture yearly 124,000 lbs. of goods, of the value of 18,000l. The whole of the liquid refuse produced at our works flows unfiltered into the goit, and thence into the Beck. We do not use wires, bleaching materials, oil, alkali, soap, or urine. Use steam, two-thirds of 25 nominal horse-power, there being two other tenants besides ourselves; we are therefore unable to state the quantity of coal used, or what is done with the ashes. The excrements of our workpeople flow into the goit and thence into the Beck. We have no suggestions to offer."
A. C. Bartum & Company,Worsted Spinners and Weavers,"Newland Mills, Bradford","Our works are situated near Bradford Beck. Employ 250 hands. Rateable value of works, 857l. Obtain our supply of water jointly from springs and from waterworks, but cannot give annual consumption at our works. Manufacture yearly, goods of the value of 60,000l. The whole of the waste liquid produced at the works flows direct into a sewer, and thence into the Beck. Use yearly 160 gallons of Gallipoli and sperm oils, of the value of 40l. Do not use soap, alkali, or urine. Use steam, 220 nominal horse-power. Consume yearly 1,500 tons of coal, the ashes from which are used partly for repairing roads, and partly for building purposes. The excrements of our workpeople are conveyed into tanks and thence on to land for agricultural purposes. We suggest as the best means of avoiding pollution in future that the whole of the sewage should be utilized in irrigation, and that manufacturers should be prevented from turning solid or liquid refuse into rivers and streams. Have no special suggestions to offer as to the conservancy of rivers and streams."
Taylor & Bateman,Worsted Manufacturers,"Valley Works, Manningham, near Bradford","Our works are situated on Bradford Beck, a tributary of the Aire. The bed of the stream has silted up. Our works are not affected by floods. There has been very little alteration in the condition of the stream during the last 5 years. It is polluted to an enormous extent by every species of liquid and solid refuse, but not by mines. We hire power and power, and our landlord pays rates and supplies the water for our consumption, we are unable to give the quantity used yearly. If the river, from which we might derive our supply of water, were rendered clear and colourless, it would be of considerable money value to us. We manufacture yearly goods 360,000 lbs. Produce yearly, liquid refuse, as soap suds, 2,470,000 gallons. This and the whole of the other waste liquid produced flows direct into Bradford Beck. We do not use other liquid wares or bleaching materials, but use yearly 30 gallons of Gallipoli oil, of the value of 811, also soap 35 packs, and soda ash 6 cwt. The soap suds are not treated for the recovery of grease. As we only hire power from Messrs. S. Sutcliffe and Sons, who are joint occupiers with us, we are unable to state the nominal steam power, the quantity of coal used, what is done with the ashes, or what is done with the excrements of our workpeople. Have no suggestions to offer."
John Exley & Son,Worsted Spinners,"Fuzzing Hill, Shipley","Our works are situated on the Bradford Beck, a tributary of the Aire. The bed of the stream has silted up. Our works are not affected by floods. The Bradford Beck is very seriously polluted by works above and by town sewage; not by mines. Obtain supply of water from a Beck flowing from Wrose Hill, Idle, but are not able to give the annual consumption at our works. Manufacture yearly, 100 tons of yarn of the value of 18,000 to 20,000. The whole of the liquid refuse produced at our works flows unfiltered into the streams. Do not use wares or bleaching materials, but use yearly 140 gallons of Gallipoli oil, and soap, 80 packs. The soap suds are not treated for the recovery of grease. Use steam, 25 nominal horse-power. Consume yearly, 700 tons of coal, the ashes from which are used to repair roads and building purposes. The excrements of our workpeople are used for manure. No suggestions to offer."
T. & E. Denny,Worsted Spinners and Manufacturers,"Wood End, Wind Hill, and Low Well Mills, Shipley","Our works are situated on the Bradford Beck, a tributary of the Aire. The bed of the stream has silted up. Our works are not affected by floods. The stream is seriously polluted by town sewage and liquid refuse from manufacturers and works above; not to our knowledge from mines. Obtain supply of water from stream and springs. Manufacture yearly, 80 tons of goods of the value of 16,000. Produce yearly, liquid refuse, as soap suds, 150,000 gallons; this flows into depositing tanks. The other waste liquid produced flows direct into the Beck. Do not use dye wares or bleaching materials. Use yearly 600 gallons of olive and sperm oil, of the value of 150. Do not produce any waste wool. Use yearly, soap 50 packs. The soap suds are treated for the recovery of grease, by which we gain 151 yearly. We rent power, and therefore are unable to state the horse-power used, the quantity of coal consumed, or what is done with the ashes. The excrements of our workpeople are used for agricultural purposes. No suggestions to offer."
William Wright,Paper Manufacturer,"Hurst Mills, Shipley","My mills are situated on the river Aire. Employ 11 hands. Rateable value of mills, 270l. The bed of the river has not silted up. My mills are not affected by floods. The condition of the stream has not altered within my knowledge. It is polluted by works above; not by mines. Obtain supply of water from the river, but am not able to state the annual consumption at my mills. Use yearly, rags 70 tons. The whole of the waste liquid produced at my mills flows unfiltered into the river. Produce yearly, 40 tons of press paper. Do not make any rag dust. Use water as power, 20 to 30 nominal horse-power. Use 80 tons of coal, the ashes from which are used to repair roads. The excrements of my workpeople flow by watercourses into the river. No suggestions to offer."
Garnett & Sons,Woollen Manufacturers,"Valley Mills, Shipley Bridge","Our works are situated on the Haigh Beck, a tributary of the Aire. Employ 60 hands. Rateable value of works, 170l. The bed of the stream has not silted up. Our works are not affected by floods. The stream is polluted by works above, and by mines. Obtain supply of water from wells; and consume, yearly, 8,000,000 gallons. Manufacture yearly, goods of the value of 12,480. Produce, yearly, 8,000,000 gallons of liquid refuse from washing, which flows direct into the sewers and thence into the Beck. Do not use any dye wares or bleaching materials Use yearly Gallipoli and cloth oil. The whole of the waste wool produced in carding is sold to waste dealers. Use yearly, soap, 3 tons-soda, 4 tons, and urine, 70 tons. The soapsuds arc nqt treated for the recovery of grease. Use steam, 16 nominal horse-power. Consume yearly, 1,040 tons of coal; make about 200 tons of ashes, which are used principally for building purposes. The excrements of our workpeople are used for manure. No suggestions to offer."
Benjamin Crabtree,Worsted Spinner and Manufacturer,"Cragg Mills, Windhill","My works are situated on the Bradford Beck, a tributary of the Aire. Employ 220 hands. Rateable value of works, 343l. 7s. The bed of the stream has silted up. My works are not affected by floods. The condition of the stream has not varied much within my knowledge. It is very seriously polluted by works above; not by mines. Obtain supply of water jointly from Bradford Beck and the waterworks company. Do not know the annual consumption at my works. Manufacture yearly goods of the value of from 3,000 to 40,000. There are no depositing tanks. The whole of the liquid refuse produced at my works flows direct into the stream. Do not use any dry wares or bleaching materials. Use yearly Gallipoli oil, to the value of 120l. Do not use either soap, alkali, or urine. Use steam, 40 nominal horse-power. Consume yearly 800 tons of coal, the ashes from which are used to repair roads. The excrements of my workplace are used for manure. Have no suggestions to offer."
The New Mill Company,Woollen Manufacturers,Idle,"Our works are situated near the river Aire. Employ 100 hands. Rateable value of works, 430l. 8s. Our works are not affected by floods. The river is polluted by town sewage and works above. The main sewer of the village of Idle passes through our premises, and conveys the whole of the sewage of the village and the refuse from manufactories into the river Aire. Obtain supply of water jointly from wells and from the Bradford waterworks. Manufacture yearly, 52,000 lbs. of goods. The whole of the liquid refuse produced at our works flows into sewers, and thence into the river. Do not use dry wares or bleaching materials. Use yearly, Gallipoli oil and Price's patent oil, of the value of 1,800. Produce 28 tons of soap, 7 tons; alkali, 6 tons; and urine, 50,000 gallons. The soapsuds are treated for the recovery of grease. By washing, we can save 501. a year. Use steam, 40 nominal horse-power. Consume yearly, 1,040 tons of coal, the ashes from which are used to repair roads. The excrements of our workplace are used for agricultural purposes. No suggestions to offer."
"William Wormersley, Thornton, & Company","Woollen Scribblers, Spinners, and Fullers","Union Mills, Eccleshill","Our works are situated near to Bagley Beck, a tributary of the Aire. Employ 80 hands. Rateable value of works, 360l. 0l. Obtain supply of water from surface drainage and from the Bradford waterworks, but do not know the annual consumption at our works. We scribble, spin, and full yearly, 432,000 lbs. of wool, of the value of 32,400l. We have depositing tanks for the soapsuds and the refuse, and the effluent water is used for irrigating land. Do not use either dry wares or bleaching materials. Use yearly, 750l. of Gallipoli and cloth oil, of the value of 1,500. Produce 4,800 lbs. of waste wool in carding, which is sold to waste dealers. Use yearly, soap, 12 tons; alkali, 24 tons; and urine, 300 tons. The soapsuds are treated for the recovery of grease, by which we can save 501. a year. Use steam, 44 nominal horse-power. Consume yearly, 2,500 tons of coal, the ashes from which are used to repair roads and partly repaired with mortar for building purposes. The excrements of our workplace are used for manure. No suggestions to offer."
Smith And Hutton,Woollen Manufacturers,Eccleshill,"Our works are situated near the Eagley Beck, a tributary of the Aire. Employ 30 hands. Rateable value of works, 120l. The bed of the stream has not silted up. Our works are not affected by floods. Obtain supply of water from wells and waterworks, and consume yearly 40,000 gallons. Manufacture yearly, goods of 20,000, and of the value of 8,000l. The whole of the waste liquid produced at our works flows unfiltered into sewers and thence into the river. Do not use any dry wares or bleaching materials. Use yearly 10 tons of olive and cloth oil, of the value of 500l. Produce 3 tons of wool in the process of carding, which is used over again for the lower class of goods. Use yearly, soap 5 tons, alkali 8 tons, and urine 25 tons. The soapsuds are not treated treated for the recovery of grease. Use steam 12 nominal horse power. Consume yearly 500 tons of coal ; make 50 tons of ashes, which are used for building purposes. The excrements of our workpeople are carted away and used in agriculture. No suggestions to offer."
"Kellett, Brown, & Company",Cloth Scribblers,Calverley,"Our works are situated near the river Aire. Employ 65 hands. Rateable value of works, 350l. The condition of the river in warm weather is very offensive. It is polluted by town sewage and refuse from manufactories. Obtain supply of water from springs, but we are not able to give the annual consumption at our works. Manufacture yearly goods of the value of 16,800l. The whole of the liquid refuse produced at our works flows direct into the sewers, and thence into the stream. Use yearly, 16 tons of dye wares, principally logwood, peachwood, and barwood. Do not use any bleaching materials. Use yearly, soap of the value of 600l. The soapuds are treated for the recovery of grease, by which we gain 25l. a year. Use steam, 30 nominal horse-power. Consume yearly, 1,820 tons of coal, the ashes from which are used to repair roads. The excrements of our workpeople are sold for manure. No suggestions to offer."
David Yewdall & Sons,Woollen Manufacturers,"Calverley Bridge and Waterlo Mills, Bramley","Our works are situated on the river Aire. Employ 1,000 hands. Rateable value of works, 650l. The bed of the river has not silted up. Our works are not affected by floods. Ten years ago the river Aire was clear, and abounded with fish; it is now most offensive, especially situated on its banks, and by dye and other works; also by the carcases of dead animals which are thrown into the river. The yearly consumption at our works is very considerable, but are not able to state the quantity. If the river were colourless, it would be of incalculable value to us, but we are unable to fix the amount. We produce, yearly, 600,000 lbs. of goods. The whole of the waste liquid produced at our works, except the soapuds, flows direct into the river. Do not use any dye wares or bleaching materials. Use yearly, 12,000 gallons of Gallipoli oil, of the value of 3,000l. Produce yearly, 37,440 lbs. of waste wool, the best part of which we re-use, and the remainder is sold to waste dealers. Use yearly, soap, 20,800 lbs; alkali 1,747,720 lbs.; and urine 104,000 gallons. The soapuds are treated for the recovery of grease, by which we gain yearly 15l. Use steam and water as power; steam 25, and water 36 nominal horse-power. Consume yearly, 1,000 tons of coal, the ashes from which are used to repair roads. The excrements of our workpeople are used for manure. Have no suggestions to offer."
William & Samuel Varley,Worsted Manufacturers,Stanningley,"Our works are situated on the Stanningley Beck, a tributary of the Aire. Employ about 400 hands. Rateable value of works, 1,314l. 10s. 0d. The bed of the stream has not silted up. Our works are not affected by floods. The Beck is not polluted by works above, nor by mines. Obtain supply of water from the Beck, but do not know the annual consumption at our works. Manufacture yearly, 640,000 lbs. of goods, of the value of 80,000l. The whole of the liquid refuse from our works flows direct (except soapuds) into the Beck. Do not use any dye wares or bleaching materials. Use yearly, 1,500 gallons of olive oil, of the value of 330l. The whole of the waste wood produced in carding is sold to waste dealers. Use yearly, 29,000 lbs. of soap, 13,000 lbs. of alkali, and no turpentine. The soapuds have not been treated for the recovery of the grease since January 1871. Use steam, 60 nominal horse-power. Consume yearly, 2,230 tons of coal, the ashes from which are carted away. The excrements of our workpeople are used for agricultural purposes. No suggestions to offer."
